County,State,state_county,County Code,date,AQI
baldwin,alabama,alabama_baldwin,1003,2019-03-12,34.18398916721344
colbert,alabama,alabama_colbert,1033,2019-03-12,25.13293039798737
dekalb,alabama,alabama_dekalb,1049,2019-03-12,35.72922897338867
etowah,alabama,alabama_etowah,1055,2019-03-12,27.72624903917313
houston,alabama,alabama_houston,1069,2019-03-12,35.544209837913506
jefferson,alabama,alabama_jefferson,1073,2019-03-12,54.470003873109825
madison,alabama,alabama_madison,1089,2019-03-12,26.342212319374084
mobile,alabama,alabama_mobile,1097,2019-03-12,35.08670425415039
montgomery,alabama,alabama_montgomery,1101,2019-03-12,52.765655666589744
morgan,alabama,alabama_morgan,1103,2019-03-12,28.05894896388055
russell,alabama,alabama_russell,1113,2019-03-12,31.19133102893829
tuscaloosa,alabama,alabama_tuscaloosa,1125,2019-03-12,31.556326627731323
apache,arizona,arizona_apache,4001,2019-03-12,11.588825106620789
cochise,arizona,arizona_cochise,4003,2019-03-12,52.85706743597984
coconino,arizona,arizona_coconino,4005,2019-03-12,41.50572769343853
gila,arizona,arizona_gila,4007,2019-03-12,60.24685198068621
maricopa,arizona,arizona_maricopa,4013,2019-03-12,70.83779630064963
mohave,arizona,arizona_mohave,4015,2019-03-12,6.2680347859859475
navajo,arizona,arizona_navajo,4017,2019-03-12,42.23604774475098
pima,arizona,arizona_pima,4019,2019-03-12,45.224608957767494
pinal,arizona,arizona_pinal,4021,2019-03-12,51.915500771254294
yavapai,arizona,arizona_yavapai,4025,2019-03-12,37.51767465472221
yuma,arizona,arizona_yuma,4027,2019-03-12,37.38192570209503
arkansas,arkansas,arkansas_arkansas,5001,2019-03-12,26.172046810388565
crittenden,arkansas,arkansas_crittenden,5035,2019-03-12,37.30178886651993
garland,arkansas,arkansas_garland,5051,2019-03-12,28.10923743247986
polk,arkansas,arkansas_polk,5113,2019-03-12,33.69742965698242
pulaski,arkansas,arkansas_pulaski,5119,2019-03-12,36.85396172106265
union,arkansas,arkansas_union,5139,2019-03-12,29.42370021343231
washington,arkansas,arkansas_washington,5143,2019-03-12,37.697379112243645
alameda,california,california_alameda,6001,2019-03-12,52.24266904592513
amador,california,california_amador,6005,2019-03-12,26.45077383518219
butte,california,california_butte,6007,2019-03-12,84.52070033550262
calaveras,california,california_calaveras,6009,2019-03-12,60.18304732441902
contra_costa,california,california_contra_costa,6013,2019-03-12,136.65427428483966
el_dorado,california,california_el_dorado,6017,2019-03-12,32.5565979629755
fresno,california,california_fresno,6019,2019-03-12,121.36126935482024
glenn,california,california_glenn,6021,2019-03-12,70.34885752201079
humboldt,california,california_humboldt,6023,2019-03-12,51.110820680856705
imperial,california,california_imperial,6025,2019-03-12,44.76676559448242
kern,california,california_kern,6029,2019-03-12,130.60771942138675
kings,california,california_kings,6031,2019-03-12,116.99826788902278
lake,california,california_lake,6033,2019-03-12,17.054057091474533
marin,california,california_marin,6041,2019-03-12,33.884613633155816
merced,california,california_merced,6047,2019-03-12,31.68480980396271
monterey,california,california_monterey,6053,2019-03-12,32.153359413146966
napa,california,california_napa,6055,2019-03-12,50.53501136600972
nevada,california,california_nevada,6057,2019-03-12,50.70560649037361
placer,california,california_placer,6061,2019-03-12,76.38826370239258
riverside,california,california_riverside,6065,2019-03-12,45.18134501576423
sacramento,california,california_sacramento,6067,2019-03-12,94.45508205890656
san_benito,california,california_san_benito,6069,2019-03-12,30.43601190298796
san_bernardino,california,california_san_bernardino,6071,2019-03-12,54.91647055745125
san_francisco,california,california_san_francisco,6075,2019-03-12,43.22382564842701
san_joaquin,california,california_san_joaquin,6077,2019-03-12,125.62256300449371
san_luis_obispo,california,california_san_luis_obispo,6079,2019-03-12,41.627346709370606
san_mateo,california,california_san_mateo,6081,2019-03-12,50.10503154993057
santa_barbara,california,california_santa_barbara,6083,2019-03-12,48.60165726393461
santa_clara,california,california_santa_clara,6085,2019-03-12,57.09012848138809
santa_cruz,california,california_santa_cruz,6087,2019-03-12,42.730222523212426
shasta,california,california_shasta,6089,2019-03-12,39.504923492670066
solano,california,california_solano,6095,2019-03-12,54.388509541749954
sonoma,california,california_sonoma,6097,2019-03-12,36.283199802041054
stanislaus,california,california_stanislaus,6099,2019-03-12,95.0136684179306
sutter,california,california_sutter,6101,2019-03-12,100.20544004440308
tulare,california,california_tulare,6107,2019-03-12,118.59519612789154
tuolumne,california,california_tuolumne,6109,2019-03-12,31.25790947675705
ventura,california,california_ventura,6111,2019-03-12,58.877080902457244
yolo,california,california_yolo,6113,2019-03-12,65.89245948195457
adams,colorado,colorado_adams,8001,2019-03-12,64.34438854455948
arapahoe,colorado,colorado_arapahoe,8005,2019-03-12,45.72369706630707
boulder,colorado,colorado_boulder,8013,2019-03-12,50.71388864517212
delta,colorado,colorado_delta,8029,2019-03-12,40.69449311494828
denver,colorado,colorado_denver,8031,2019-03-12,68.4906289577484
douglas,colorado,colorado_douglas,8035,2019-03-12,34.61801874637604
el_paso,colorado,colorado_el_paso,8041,2019-03-12,43.255028933286674
jefferson,colorado,colorado_jefferson,8059,2019-03-12,47.14356011152268
larimer,colorado,colorado_larimer,8069,2019-03-12,52.19271445274353
mesa,colorado,colorado_mesa,8077,2019-03-12,46.87276783585549
montezuma,colorado,colorado_montezuma,8083,2019-03-12,44.59266024827957
pueblo,colorado,colorado_pueblo,8101,2019-03-12,18.43259996175766
weld,colorado,colorado_weld,8123,2019-03-12,45.919832080602646
windham,connecticut,connecticut_windham,9015,2019-03-12,34.885751336812966
kent,delaware,delaware_kent,10001,2019-03-12,35.149531722068794
new_castle,delaware,delaware_new_castle,10003,2019-03-12,38.8281767219305
sussex,delaware,delaware_sussex,10005,2019-03-12,37.45217701792717
district_of_columbia,district_of_columbia,district_of_columbia_district_of_columbia,11001,2019-03-12,31.84889037907124
bay,florida,florida_bay,12005,2019-03-12,35.77073681354523
indian_river,florida,florida_indian_river,12061,2019-03-12,40.14805334806442
okaloosa,florida,florida_okaloosa,12091,2019-03-12,32.15293651819229
bibb,georgia,georgia_bibb,13021,2019-03-12,36.36268097162247
chatham,georgia,georgia_chatham,13051,2019-03-12,34.611420929431915
chattooga,georgia,georgia_chattooga,13055,2019-03-12,36.756133794784546
clarke,georgia,georgia_clarke,13059,2019-03-12,30.455974817276
clayton,georgia,georgia_clayton,13063,2019-03-12,39.42192435264587
cobb,georgia,georgia_cobb,13067,2019-03-12,30.161077678203586
coffee,georgia,georgia_coffee,13069,2019-03-12,27.79340934753418
columbia,georgia,georgia_columbia,13073,2019-03-12,35.97511118650437
dekalb,georgia,georgia_dekalb,13089,2019-03-12,35.26542836427689
dougherty,georgia,georgia_dougherty,13095,2019-03-12,50.50517398118975
douglas,georgia,georgia_douglas,13097,2019-03-12,35.9941447377205
floyd,georgia,georgia_floyd,13115,2019-03-12,33.52797818183899
fulton,georgia,georgia_fulton,13121,2019-03-12,35.364380925893784
glynn,georgia,georgia_glynn,13127,2019-03-12,36.38126465678215
gwinnett,georgia,georgia_gwinnett,13135,2019-03-12,30.36589287221432
hall,georgia,georgia_hall,13139,2019-03-12,24.546281099319454
henry,georgia,georgia_henry,13151,2019-03-12,18.619331270456318
houston,georgia,georgia_houston,13153,2019-03-12,35.722252607345574
lowndes,georgia,georgia_lowndes,13185,2019-03-12,27.82286614179611
murray,georgia,georgia_murray,13213,2019-03-12,43.58696532249451
muscogee,georgia,georgia_muscogee,13215,2019-03-12,38.2978481054306
richmond,georgia,georgia_richmond,13245,2019-03-12,28.327098250389103
rockdale,georgia,georgia_rockdale,13247,2019-03-12,34.57589486241341
walker,georgia,georgia_walker,13295,2019-03-12,33.924432396888726
hawaii,hawaii,hawaii_hawaii,15001,2019-03-12,96.7545332610607
bannock,idaho,idaho_bannock,16005,2019-03-12,23.301538802683353
adams,illinois,illinois_adams,17001,2019-03-12,48.76593291759491
champaign,illinois,illinois_champaign,17019,2019-03-12,32.108594954013824
cook,illinois,illinois_cook,17031,2019-03-12,39.703474760055535
dupage,illinois,illinois_dupage,17043,2019-03-12,56.74434155225754
kane,illinois,illinois_kane,17089,2019-03-12,47.745465368032455
lake,illinois,illinois_lake,17097,2019-03-12,44.55928960442543
macon,illinois,illinois_macon,17115,2019-03-12,32.83117657899857
macoupin,illinois,illinois_macoupin,17117,2019-03-12,5.1465124636888495
madison,illinois,illinois_madison,17119,2019-03-12,35.59599182009698
mchenry,illinois,illinois_mchenry,17111,2019-03-12,18.898814156651497
mclean,illinois,illinois_mclean,17113,2019-03-12,25.80031952261925
peoria,illinois,illinois_peoria,17143,2019-03-12,35.77717429399491
randolph,illinois,illinois_randolph,17157,2019-03-12,22.17191213369369
rock_island,illinois,illinois_rock_island,17161,2019-03-12,67.11330628395079
sangamon,illinois,illinois_sangamon,17167,2019-03-12,38.55266234278679
tazewell,illinois,illinois_tazewell,17179,2019-03-12,9.692696526646612
will,illinois,illinois_will,17197,2019-03-12,28.098307609558105
winnebago,illinois,illinois_winnebago,17201,2019-03-12,60.69985216856003
allen,indiana,indiana_allen,18003,2019-03-12,38.001061081886284
bartholomew,indiana,indiana_bartholomew,18005,2019-03-12,33.265619337558746
boone,indiana,indiana_boone,18011,2019-03-12,27.26003064215183
clark,indiana,indiana_clark,18019,2019-03-12,34.83741420507431
delaware,indiana,indiana_delaware,18035,2019-03-12,35.53532058000565
dubois,indiana,indiana_dubois,18037,2019-03-12,42.74316340684891
elkhart,indiana,indiana_elkhart,18039,2019-03-12,33.76008965075017
floyd,indiana,indiana_floyd,18043,2019-03-12,34.30710536241532
greene,indiana,indiana_greene,18055,2019-03-12,30.187276750802994
hamilton,indiana,indiana_hamilton,18057,2019-03-12,32.967805206775665
hendricks,indiana,indiana_hendricks,18063,2019-03-12,22.707303106784824
henry,indiana,indiana_henry,18065,2019-03-12,35.78468120098114
howard,indiana,indiana_howard,18067,2019-03-12,32.07349169254303
huntington,indiana,indiana_huntington,18069,2019-03-12,22.707816839218136
jackson,indiana,indiana_jackson,18071,2019-03-12,34.22630712389946
knox,indiana,indiana_knox,18083,2019-03-12,34.18469762802124
lake,indiana,indiana_lake,18089,2019-03-12,27.08900272846222
madison,indiana,indiana_madison,18095,2019-03-12,33.13708078861236
marion,indiana,indiana_marion,18097,2019-03-12,36.06802880764008
monroe,indiana,indiana_monroe,18105,2019-03-12,9.586576446890833
morgan,indiana,indiana_morgan,18109,2019-03-12,29.394093811511997
perry,indiana,indiana_perry,18123,2019-03-12,33.061580941081054
porter,indiana,indiana_porter,18127,2019-03-12,38.48853914439678
shelby,indiana,indiana_shelby,18145,2019-03-12,33.58645786345005
st._joseph,indiana,indiana_st._joseph,18141,2019-03-12,36.150824829936035
tippecanoe,indiana,indiana_tippecanoe,18157,2019-03-12,19.229774996638298
vanderburgh,indiana,indiana_vanderburgh,18163,2019-03-12,38.16141980886459
vigo,indiana,indiana_vigo,18167,2019-03-12,36.204230785369866
wabash,indiana,indiana_wabash,18169,2019-03-12,33.22281539440155
warrick,indiana,indiana_warrick,18173,2019-03-12,30.350001722574234
black_hawk,iowa,iowa_black_hawk,19013,2019-03-12,22.37569841742516
cerro_gordo,iowa,iowa_cerro_gordo,19033,2019-03-12,10.673060446977617
clinton,iowa,iowa_clinton,19045,2019-03-12,25.64910869300365
johnson,iowa,iowa_johnson,19103,2019-03-12,33.903081595897675
lee,iowa,iowa_lee,19111,2019-03-12,42.85044467449188
linn,iowa,iowa_linn,19113,2019-03-12,27.518518805503845
polk,iowa,iowa_polk,19153,2019-03-12,31.602623641490933
pottawattamie,iowa,iowa_pottawattamie,19155,2019-03-12,39.99277472496033
scott,iowa,iowa_scott,19163,2019-03-12,32.67880763113499
woodbury,iowa,iowa_woodbury,19193,2019-03-12,37.488066911697395
ford,kansas,kansas_ford,20057,2019-03-12,21.090354099869725
johnson,kansas,kansas_johnson,20091,2019-03-12,50.365792751312256
leavenworth,kansas,kansas_leavenworth,20103,2019-03-12,32.020263671875
sedgwick,kansas,kansas_sedgwick,20173,2019-03-12,34.96678864955902
shawnee,kansas,kansas_shawnee,20177,2019-03-12,32.637690544128425
wyandotte,kansas,kansas_wyandotte,20209,2019-03-12,34.20717960596085
boyd,kentucky,kentucky_boyd,21019,2019-03-12,31.136826515197754
carter,kentucky,kentucky_carter,21043,2019-03-12,21.132608070969578
daviess,kentucky,kentucky_daviess,21059,2019-03-12,24.852905243635178
fayette,kentucky,kentucky_fayette,21067,2019-03-12,19.298190861940387
hardin,kentucky,kentucky_hardin,21093,2019-03-12,26.797636985778805
henderson,kentucky,kentucky_henderson,21101,2019-03-12,27.0126733481884
mccracken,kentucky,kentucky_mccracken,21145,2019-03-12,28.409477531909946
pike,kentucky,kentucky_pike,21195,2019-03-12,30.077206671237946
pulaski,kentucky,kentucky_pulaski,21199,2019-03-12,29.477326244115826
warren,kentucky,kentucky_warren,21227,2019-03-12,27.3348885178566
androscoggin,maine,maine_androscoggin,23001,2019-03-12,23.193374276161194
aroostook,maine,maine_aroostook,23003,2019-03-12,34.834136739373214
cumberland,maine,maine_cumberland,23005,2019-03-12,38.239844977855675
hancock,maine,maine_hancock,23009,2019-03-12,40.77785474061965
kennebec,maine,maine_kennebec,23011,2019-03-12,10.269629731774328
knox,maine,maine_knox,23013,2019-03-12,43.94482803344727
oxford,maine,maine_oxford,23017,2019-03-12,34.320522576570504
penobscot,maine,maine_penobscot,23019,2019-03-12,20.162948340177536
washington,maine,maine_washington,23029,2019-03-12,33.97890204191208
york,maine,maine_york,23031,2019-03-12,49.613275051116936
anne_arundel,maryland,maryland_anne_arundel,24003,2019-03-12,9.653286904096602
baltimore,maryland,maryland_baltimore,24005,2019-03-12,37.48887431621552
calvert,maryland,maryland_calvert,24009,2019-03-12,43.66275978088379
carroll,maryland,maryland_carroll,24013,2019-03-12,45.74106898903846
cecil,maryland,maryland_cecil,24015,2019-03-12,32.18762359023094
charles,maryland,maryland_charles,24017,2019-03-12,45.75480216741562
frederick,maryland,maryland_frederick,24021,2019-03-12,44.606717824935906
harford,maryland,maryland_harford,24025,2019-03-12,32.496389150619514
howard,maryland,maryland_howard,24027,2019-03-12,33.751011729240425
montgomery,maryland,maryland_montgomery,24031,2019-03-12,26.603128910064694
prince_george's,maryland,maryland_prince_george's,24033,2019-03-12,35.27925583720207
washington,maryland,maryland_washington,24043,2019-03-12,22.496898412704468
barnstable,massachusetts,massachusetts_barnstable,25001,2019-03-12,36.15535914897919
berkshire,massachusetts,massachusetts_berkshire,25003,2019-03-12,35.61341905593872
bristol,massachusetts,massachusetts_bristol,25005,2019-03-12,33.947559505701065
essex,massachusetts,massachusetts_essex,25009,2019-03-12,35.98742692172527
franklin,massachusetts,massachusetts_franklin,25011,2019-03-12,36.64522722363472
hampden,massachusetts,massachusetts_hampden,25013,2019-03-12,36.46745455265045
