"Notes"	"County"	"County Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Baldwin County, AL"	"01003"	"Jan., 2009"	"2009/01"	18	Not Applicable	Not Applicable	0.0%
	"Baldwin County, AL"	"01003"	"Feb., 2009"	"2009/02"	16	Not Applicable	Not Applicable	0.0%
	"Baldwin County, AL"	"01003"	"Mar., 2009"	"2009/03"	12	Not Applicable	Not Applicable	0.0%
	"Baldwin County, AL"	"01003"	"Apr., 2009"	"2009/04"	10	Not Applicable	Not Applicable	0.0%
	"Baldwin County, AL"	"01003"	"May, 2009"	"2009/05"	15	Not Applicable	Not Applicable	0.0%
	"Baldwin County, AL"	"01003"	"Jun., 2009"	"2009/06"	16	Not Applicable	Not Applicable	0.0%
	"Baldwin County, AL"	"01003"	"Aug., 2009"	"2009/08"	13	Not Applicable	Not Applicable	0.0%
	"Baldwin County, AL"	"01003"	"Sep., 2009"	"2009/09"	10	Not Applicable	Not Applicable	0.0%
	"Baldwin County, AL"	"01003"	"Oct., 2009"	"2009/10"	16	Not Applicable	Not Applicable	0.0%
	"Baldwin County, AL"	"01003"	"Nov., 2009"	"2009/11"	15	Not Applicable	Not Applicable	0.0%
	"Baldwin County, AL"	"01003"	"Dec., 2009"	"2009/12"	14	Not Applicable	Not Applicable	0.0%
	"Calhoun County, AL"	"01015"	"Jan., 2009"	"2009/01"	23	Not Applicable	Not Applicable	0.0%
	"Calhoun County, AL"	"01015"	"Feb., 2009"	"2009/02"	11	Not Applicable	Not Applicable	0.0%
	"Calhoun County, AL"	"01015"	"Mar., 2009"	"2009/03"	12	Not Applicable	Not Applicable	0.0%
	"Calhoun County, AL"	"01015"	"May, 2009"	"2009/05"	13	Not Applicable	Not Applicable	0.0%
	"Calhoun County, AL"	"01015"	"Jun., 2009"	"2009/06"	16	Not Applicable	Not Applicable	0.0%
	"Calhoun County, AL"	"01015"	"Jul., 2009"	"2009/07"	12	Not Applicable	Not Applicable	0.0%
	"Calhoun County, AL"	"01015"	"Oct., 2009"	"2009/10"	17	Not Applicable	Not Applicable	0.0%
	"Calhoun County, AL"	"01015"	"Nov., 2009"	"2009/11"	15	Not Applicable	Not Applicable	0.0%
	"Calhoun County, AL"	"01015"	"Dec., 2009"	"2009/12"	19	Not Applicable	Not Applicable	0.0%
	"Cherokee County, AL"	"01019"	"Dec., 2009"	"2009/12"	10	Not Applicable	Not Applicable	0.0%
	"Colbert County, AL"	"01033"	"Mar., 2009"	"2009/03"	10	Not Applicable	Not Applicable	0.0%
	"Colbert County, AL"	"01033"	"May, 2009"	"2009/05"	10	Not Applicable	Not Applicable	0.0%
	"Colbert County, AL"	"01033"	"Jun., 2009"	"2009/06"	10	Not Applicable	Not Applicable	0.0%
	"Colbert County, AL"	"01033"	"Dec., 2009"	"2009/12"	10	Not Applicable	Not Applicable	0.0%
	"Cullman County, AL"	"01043"	"Jan., 2009"	"2009/01"	10	Not Applicable	Not Applicable	0.0%
	"Cullman County, AL"	"01043"	"Feb., 2009"	"2009/02"	10	Not Applicable	Not Applicable	0.0%
	"Cullman County, AL"	"01043"	"Mar., 2009"	"2009/03"	14	Not Applicable	Not Applicable	0.0%
	"Cullman County, AL"	"01043"	"Nov., 2009"	"2009/11"	11	Not Applicable	Not Applicable	0.0%
	"Cullman County, AL"	"01043"	"Dec., 2009"	"2009/12"	13	Not Applicable	Not Applicable	0.0%
	"DeKalb County, AL"	"01049"	"Jan., 2009"	"2009/01"	13	Not Applicable	Not Applicable	0.0%
	"DeKalb County, AL"	"01049"	"Oct., 2009"	"2009/10"	10	Not Applicable	Not Applicable	0.0%
	"DeKalb County, AL"	"01049"	"Dec., 2009"	"2009/12"	12	Not Applicable	Not Applicable	0.0%
	"Elmore County, AL"	"01051"	"Jul., 2009"	"2009/07"	10	Not Applicable	Not Applicable	0.0%
	"Etowah County, AL"	"01055"	"Feb., 2009"	"2009/02"	15	Not Applicable	Not Applicable	0.0%
	"Etowah County, AL"	"01055"	"Mar., 2009"	"2009/03"	22	Not Applicable	Not Applicable	0.0%
	"Etowah County, AL"	"01055"	"Apr., 2009"	"2009/04"	10	Not Applicable	Not Applicable	0.0%
	"Etowah County, AL"	"01055"	"May, 2009"	"2009/05"	16	Not Applicable	Not Applicable	0.0%
	"Etowah County, AL"	"01055"	"Jun., 2009"	"2009/06"	20	Not Applicable	Not Applicable	0.0%
	"Etowah County, AL"	"01055"	"Jul., 2009"	"2009/07"	13	Not Applicable	Not Applicable	0.0%
