"Notes"	"County"	"County Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Baldwin County, AL"	"01003"	"Jan., 2001"	"2001/01"	13	Not Applicable	Not Applicable	0.0%
	"Baldwin County, AL"	"01003"	"Feb., 2001"	"2001/02"	14	Not Applicable	Not Applicable	0.0%
	"Baldwin County, AL"	"01003"	"Mar., 2001"	"2001/03"	17	Not Applicable	Not Applicable	0.0%
	"Baldwin County, AL"	"01003"	"Sep., 2001"	"2001/09"	12	Not Applicable	Not Applicable	0.0%
	"Baldwin County, AL"	"01003"	"Oct., 2001"	"2001/10"	14	Not Applicable	Not Applicable	0.0%
	"Blount County, AL"	"01009"	"Jan., 2001"	"2001/01"	10	Not Applicable	Not Applicable	0.0%
	"Calhoun County, AL"	"01015"	"Jan., 2001"	"2001/01"	16	Not Applicable	Not Applicable	0.0%
	"Calhoun County, AL"	"01015"	"Feb., 2001"	"2001/02"	13	Not Applicable	Not Applicable	0.0%
	"Calhoun County, AL"	"01015"	"Mar., 2001"	"2001/03"	14	Not Applicable	Not Applicable	0.0%
	"Calhoun County, AL"	"01015"	"Apr., 2001"	"2001/04"	11	Not Applicable	Not Applicable	0.0%
	"Calhoun County, AL"	"01015"	"May, 2001"	"2001/05"	11	Not Applicable	Not Applicable	0.0%
	"Calhoun County, AL"	"01015"	"Jun., 2001"	"2001/06"	14	Not Applicable	Not Applicable	0.0%
	"Calhoun County, AL"	"01015"	"Jul., 2001"	"2001/07"	11	Not Applicable	Not Applicable	0.0%
	"Calhoun County, AL"	"01015"	"Sep., 2001"	"2001/09"	10	Not Applicable	Not Applicable	0.0%
	"Calhoun County, AL"	"01015"	"Nov., 2001"	"2001/11"	15	Not Applicable	Not Applicable	0.0%
	"Calhoun County, AL"	"01015"	"Dec., 2001"	"2001/12"	15	Not Applicable	Not Applicable	0.0%
	"Coffee County, AL"	"01031"	"Apr., 2001"	"2001/04"	10	Not Applicable	Not Applicable	0.0%
	"Cullman County, AL"	"01043"	"Jan., 2001"	"2001/01"	10	Not Applicable	Not Applicable	0.0%
	"Cullman County, AL"	"01043"	"Apr., 2001"	"2001/04"	11	Not Applicable	Not Applicable	0.0%
	"Cullman County, AL"	"01043"	"Oct., 2001"	"2001/10"	11	Not Applicable	Not Applicable	0.0%
	"Cullman County, AL"	"01043"	"Dec., 2001"	"2001/12"	11	Not Applicable	Not Applicable	0.0%
	"DeKalb County, AL"	"01049"	"Mar., 2001"	"2001/03"	12	Not Applicable	Not Applicable	0.0%
	"DeKalb County, AL"	"01049"	"Apr., 2001"	"2001/04"	10	Not Applicable	Not Applicable	0.0%
	"Etowah County, AL"	"01055"	"Jan., 2001"	"2001/01"	28	Not Applicable	Not Applicable	0.0%
	"Etowah County, AL"	"01055"	"Feb., 2001"	"2001/02"	11	Not Applicable	Not Applicable	0.0%
	"Etowah County, AL"	"01055"	"Mar., 2001"	"2001/03"	15	Not Applicable	Not Applicable	0.0%
	"Etowah County, AL"	"01055"	"Apr., 2001"	"2001/04"	11	Not Applicable	Not Applicable	0.0%
	"Etowah County, AL"	"01055"	"May, 2001"	"2001/05"	18	Not Applicable	Not Applicable	0.0%
	"Etowah County, AL"	"01055"	"Jul., 2001"	"2001/07"	12	Not Applicable	Not Applicable	0.0%
	"Etowah County, AL"	"01055"	"Oct., 2001"	"2001/10"	12	Not Applicable	Not Applicable	0.0%
	"Etowah County, AL"	"01055"	"Nov., 2001"	"2001/11"	15	Not Applicable	Not Applicable	0.0%
	"Etowah County, AL"	"01055"	"Dec., 2001"	"2001/12"	15	Not Applicable	Not Applicable	0.0%
	"Houston County, AL"	"01069"	"Jan., 2001"	"2001/01"	15	Not Applicable	Not Applicable	0.0%
	"Houston County, AL"	"01069"	"Feb., 2001"	"2001/02"	17	Not Applicable	Not Applicable	0.0%
