"Notes"	"County"	"County Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Bossier Parish, LA"	"22015"	"Feb., 2006"	"2006/02"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Jan., 1999"	"1999/01"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Feb., 1999"	"1999/02"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Mar., 1999"	"1999/03"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Mar., 1999"	"1999/03"	"85+ years"	"85+"	19	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Jan., 2000"	"2000/01"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Jan., 2000"	"2000/01"	"85+ years"	"85+"	13	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Oct., 2000"	"2000/10"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Oct., 2000"	"2000/10"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Nov., 2000"	"2000/11"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Dec., 2000"	"2000/12"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Jan., 2001"	"2001/01"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Mar., 2001"	"2001/03"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Apr., 2001"	"2001/04"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Jul., 2001"	"2001/07"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Mar., 2002"	"2002/03"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Mar., 2002"	"2002/03"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Dec., 2002"	"2002/12"	"75-84 years"	"75-84"	18	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Jan., 2003"	"2003/01"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Jan., 2004"	"2004/01"	"75-84 years"	"75-84"	13	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Mar., 2004"	"2004/03"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Jul., 2004"	"2004/07"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Aug., 2004"	"2004/08"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Sep., 2004"	"2004/09"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Jan., 2005"	"2005/01"	"85+ years"	"85+"	17	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Mar., 2005"	"2005/03"	"75-84 years"	"75-84"	13	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Mar., 2005"	"2005/03"	"85+ years"	"85+"	13	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Dec., 2005"	"2005/12"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Feb., 2006"	"2006/02"	"75-84 years"	"75-84"	14	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Mar., 2006"	"2006/03"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Feb., 2007"	"2007/02"	"75-84 years"	"75-84"	13	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Feb., 2007"	"2007/02"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Aug., 2007"	"2007/08"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Dec., 2007"	"2007/12"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Jan., 2008"	"2008/01"	"85+ years"	"85+"	14	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Feb., 2008"	"2008/02"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Mar., 2008"	"2008/03"	"85+ years"	"85+"	14	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Apr., 2008"	"2008/04"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"May, 2008"	"2008/05"	"75-84 years"	"75-84"	13	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"May, 2008"	"2008/05"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Oct., 2008"	"2008/10"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Nov., 2008"	"2008/11"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Dec., 2008"	"2008/12"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Dec., 2008"	"2008/12"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Feb., 2009"	"2009/02"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Mar., 2009"	"2009/03"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"May, 2009"	"2009/05"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"May, 2009"	"2009/05"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Dec., 2009"	"2009/12"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Jan., 2010"	"2010/01"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Jan., 2010"	"2010/01"	"85+ years"	"85+"	14	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Feb., 2010"	"2010/02"	"75-84 years"	"75-84"	15	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Mar., 2010"	"2010/03"	"85+ years"	"85+"	14	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Apr., 2010"	"2010/04"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Jun., 2010"	"2010/06"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Oct., 2010"	"2010/10"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Caddo Parish, LA"	"22017"	"Nov., 2010"	"2010/11"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
