"Notes"	"County"	"County Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Belknap County, NH"	"33001"	"Jan., 1999"	"1999/01"	"65-74 years"	"65-74"	11	Not Applicable	Not Applicable
	"Belknap County, NH"	"33001"	"Jan., 1999"	"1999/01"	"75-84 years"	"75-84"	18	Not Applicable	Not Applicable
	"Belknap County, NH"	"33001"	"Jan., 1999"	"1999/01"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
"Total"	"Belknap County, NH"	"33001"	"Jan., 1999"	"1999/01"			50	Not Applicable	Not Applicable
	"Belknap County, NH"	"33001"	"Feb., 1999"	"1999/02"	"65-74 years"	"65-74"	11	Not Applicable	Not Applicable
	"Belknap County, NH"	"33001"	"Feb., 1999"	"1999/02"	"75-84 years"	"75-84"	18	Not Applicable	Not Applicable
	"Belknap County, NH"	"33001"	"Feb., 1999"	"1999/02"	"85+ years"	"85+"	18	Not Applicable	Not Applicable
"Total"	"Belknap County, NH"	"33001"	"Feb., 1999"	"1999/02"			53	Not Applicable	Not Applicable
	"Belknap County, NH"	"33001"	"Mar., 1999"	"1999/03"	"75-84 years"	"75-84"	19	Not Applicable	Not Applicable
	"Belknap County, NH"	"33001"	"Mar., 1999"	"1999/03"	"85+ years"	"85+"	16	Not Applicable	Not Applicable
"Total"	"Belknap County, NH"	"33001"	"Mar., 1999"	"1999/03"			48	Not Applicable	Not Applicable
	"Belknap County, NH"	"33001"	"Apr., 1999"	"1999/04"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
	"Belknap County, NH"	"33001"	"Apr., 1999"	"1999/04"	"85+ years"	"85+"	15	Not Applicable	Not Applicable
"Total"	"Belknap County, NH"	"33001"	"Apr., 1999"	"1999/04"			42	Not Applicable	Not Applicable
	"Belknap County, NH"	"33001"	"May, 1999"	"1999/05"	"75-84 years"	"75-84"	17	Not Applicable	Not Applicable
