"Notes"	"County"	"County Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Davis County, UT"	"49011"	"Jan., 2006"	"2006/01"	"75-84 years"	"75-84"	13	Not Applicable	Not Applicable
	"Davis County, UT"	"49011"	"Jan., 2013"	"2013/01"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Jan., 1999"	"1999/01"	"65-74 years"	"65-74"	15	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Jan., 1999"	"1999/01"	"75-84 years"	"75-84"	15	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Jan., 1999"	"1999/01"	"85+ years"	"85+"	25	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Feb., 1999"	"1999/02"	"65-74 years"	"65-74"	16	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Feb., 1999"	"1999/02"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Feb., 1999"	"1999/02"	"85+ years"	"85+"	19	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Mar., 1999"	"1999/03"	"75-84 years"	"75-84"	20	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Mar., 1999"	"1999/03"	"85+ years"	"85+"	22	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Apr., 1999"	"1999/04"	"75-84 years"	"75-84"	16	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Apr., 1999"	"1999/04"	"85+ years"	"85+"	13	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"May, 1999"	"1999/05"	"75-84 years"	"75-84"	17	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"May, 1999"	"1999/05"	"85+ years"	"85+"	13	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Jun., 1999"	"1999/06"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Aug., 1999"	"1999/08"	"75-84 years"	"75-84"	13	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Sep., 1999"	"1999/09"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Sep., 1999"	"1999/09"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Oct., 1999"	"1999/10"	"65-74 years"	"65-74"	12	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Oct., 1999"	"1999/10"	"75-84 years"	"75-84"	17	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Nov., 1999"	"1999/11"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Nov., 1999"	"1999/11"	"85+ years"	"85+"	13	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Dec., 1999"	"1999/12"	"75-84 years"	"75-84"	23	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Dec., 1999"	"1999/12"	"85+ years"	"85+"	15	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Jan., 2000"	"2000/01"	"75-84 years"	"75-84"	20	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Jan., 2000"	"2000/01"	"85+ years"	"85+"	23	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Feb., 2000"	"2000/02"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Mar., 2000"	"2000/03"	"65-74 years"	"65-74"	11	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Mar., 2000"	"2000/03"	"75-84 years"	"75-84"	17	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Mar., 2000"	"2000/03"	"85+ years"	"85+"	14	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Apr., 2000"	"2000/04"	"65-74 years"	"65-74"	14	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Apr., 2000"	"2000/04"	"75-84 years"	"75-84"	19	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Apr., 2000"	"2000/04"	"85+ years"	"85+"	13	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"May, 2000"	"2000/05"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"May, 2000"	"2000/05"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Salt Lake County, UT"	"49035"	"Jun., 2000"	"2000/06"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
