"Notes"	"County"	"County Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Allen County, OH"	"39003"	"Dec., 2003"	"2003/12"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Allen County, OH"	"39003"	"Jan., 2010"	"2010/01"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Ashtabula County, OH"	"39007"	"Nov., 2002"	"2002/11"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Feb., 1999"	"1999/02"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Feb., 1999"	"1999/02"	"85+ years"	"85+"	15	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Mar., 1999"	"1999/03"	"75-84 years"	"75-84"	15	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Mar., 1999"	"1999/03"	"85+ years"	"85+"	14	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Apr., 1999"	"1999/04"	"65-74 years"	"65-74"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Jun., 1999"	"1999/06"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Aug., 1999"	"1999/08"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Sep., 1999"	"1999/09"	"65-74 years"	"65-74"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Nov., 1999"	"1999/11"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Dec., 1999"	"1999/12"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Jan., 2000"	"2000/01"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Jan., 2000"	"2000/01"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Feb., 2000"	"2000/02"	"75-84 years"	"75-84"	16	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Feb., 2000"	"2000/02"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Mar., 2000"	"2000/03"	"65-74 years"	"65-74"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Oct., 2000"	"2000/10"	"75-84 years"	"75-84"	15	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Nov., 2000"	"2000/11"	"75-84 years"	"75-84"	14	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Jan., 2001"	"2001/01"	"75-84 years"	"75-84"	14	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Feb., 2001"	"2001/02"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Mar., 2001"	"2001/03"	"65-74 years"	"65-74"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Mar., 2001"	"2001/03"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Mar., 2001"	"2001/03"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Apr., 2001"	"2001/04"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Jun., 2001"	"2001/06"	"65-74 years"	"65-74"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Jul., 2001"	"2001/07"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Jul., 2001"	"2001/07"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Jan., 2002"	"2002/01"	"65-74 years"	"65-74"	13	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Jan., 2002"	"2002/01"	"75-84 years"	"75-84"	17	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Jan., 2002"	"2002/01"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Feb., 2002"	"2002/02"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Mar., 2002"	"2002/03"	"75-84 years"	"75-84"	19	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Mar., 2002"	"2002/03"	"85+ years"	"85+"	13	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Apr., 2002"	"2002/04"	"75-84 years"	"75-84"	15	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"May, 2002"	"2002/05"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Jun., 2002"	"2002/06"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Aug., 2002"	"2002/08"	"75-84 years"	"75-84"	13	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Feb., 2003"	"2003/02"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Apr., 2003"	"2003/04"	"75-84 years"	"75-84"	15	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"May, 2003"	"2003/05"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Nov., 2003"	"2003/11"	"75-84 years"	"75-84"	14	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Dec., 2003"	"2003/12"	"65-74 years"	"65-74"	14	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Dec., 2003"	"2003/12"	"75-84 years"	"75-84"	13	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Dec., 2003"	"2003/12"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Jan., 2004"	"2004/01"	"65-74 years"	"65-74"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Jan., 2004"	"2004/01"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Jan., 2004"	"2004/01"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Feb., 2004"	"2004/02"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Mar., 2004"	"2004/03"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Mar., 2004"	"2004/03"	"85+ years"	"85+"	15	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Apr., 2004"	"2004/04"	"75-84 years"	"75-84"	13	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"May, 2004"	"2004/05"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Oct., 2004"	"2004/10"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Nov., 2004"	"2004/11"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Mar., 2005"	"2005/03"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Apr., 2005"	"2005/04"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"May, 2005"	"2005/05"	"75-84 years"	"75-84"	14	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Jun., 2005"	"2005/06"	"65-74 years"	"65-74"	12	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Jun., 2005"	"2005/06"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Sep., 2005"	"2005/09"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Nov., 2005"	"2005/11"	"75-84 years"	"75-84"	14	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Nov., 2005"	"2005/11"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Jan., 2006"	"2006/01"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Jan., 2006"	"2006/01"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Mar., 2006"	"2006/03"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Mar., 2006"	"2006/03"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Apr., 2006"	"2006/04"	"65-74 years"	"65-74"	12	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"May, 2006"	"2006/05"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"May, 2006"	"2006/05"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Aug., 2006"	"2006/08"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Aug., 2006"	"2006/08"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Sep., 2006"	"2006/09"	"75-84 years"	"75-84"	13	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Oct., 2006"	"2006/10"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Nov., 2006"	"2006/11"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Dec., 2006"	"2006/12"	"75-84 years"	"75-84"	13	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Jan., 2007"	"2007/01"	"75-84 years"	"75-84"	13	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Feb., 2007"	"2007/02"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Feb., 2007"	"2007/02"	"85+ years"	"85+"	13	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Mar., 2007"	"2007/03"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Mar., 2007"	"2007/03"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Apr., 2007"	"2007/04"	"65-74 years"	"65-74"	12	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Apr., 2007"	"2007/04"	"75-84 years"	"75-84"	14	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Oct., 2007"	"2007/10"	"85+ years"	"85+"	13	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Nov., 2007"	"2007/11"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Dec., 2007"	"2007/12"	"75-84 years"	"75-84"	13	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Feb., 2008"	"2008/02"	"75-84 years"	"75-84"	13	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Feb., 2008"	"2008/02"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Mar., 2008"	"2008/03"	"65-74 years"	"65-74"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Mar., 2008"	"2008/03"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Mar., 2008"	"2008/03"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Apr., 2008"	"2008/04"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Apr., 2008"	"2008/04"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"May, 2008"	"2008/05"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Jun., 2008"	"2008/06"	"65-74 years"	"65-74"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Sep., 2008"	"2008/09"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Oct., 2008"	"2008/10"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Jan., 2009"	"2009/01"	"65-74 years"	"65-74"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Jan., 2009"	"2009/01"	"75-84 years"	"75-84"	15	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Feb., 2009"	"2009/02"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Mar., 2009"	"2009/03"	"85+ years"	"85+"	12	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Apr., 2009"	"2009/04"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"May, 2009"	"2009/05"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Nov., 2009"	"2009/11"	"75-84 years"	"75-84"	13	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Dec., 2009"	"2009/12"	"75-84 years"	"75-84"	14	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Jan., 2010"	"2010/01"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Jan., 2010"	"2010/01"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Feb., 2010"	"2010/02"	"75-84 years"	"75-84"	12	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Mar., 2010"	"2010/03"	"65-74 years"	"65-74"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Apr., 2010"	"2010/04"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Jul., 2010"	"2010/07"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Aug., 2010"	"2010/08"	"75-84 years"	"75-84"	16	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Aug., 2010"	"2010/08"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Butler County, OH"	"39017"	"Dec., 2010"	"2010/12"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Clark County, OH"	"39023"	"Mar., 2001"	"2001/03"	"75-84 years"	"75-84"	15	Not Applicable	Not Applicable
	"Clark County, OH"	"39023"	"Jan., 2002"	"2002/01"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Clark County, OH"	"39023"	"Mar., 2002"	"2002/03"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Clark County, OH"	"39023"	"Dec., 2003"	"2003/12"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Clark County, OH"	"39023"	"Mar., 2005"	"2005/03"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Clark County, OH"	"39023"	"Apr., 2005"	"2005/04"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Clark County, OH"	"39023"	"Jan., 2007"	"2007/01"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Clark County, OH"	"39023"	"Feb., 2008"	"2008/02"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Clark County, OH"	"39023"	"Apr., 2009"	"2009/04"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Clermont County, OH"	"39025"	"Mar., 1999"	"1999/03"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Clermont County, OH"	"39025"	"Nov., 2002"	"2002/11"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Clermont County, OH"	"39025"	"Dec., 2003"	"2003/12"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Clermont County, OH"	"39025"	"Jan., 2007"	"2007/01"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Clermont County, OH"	"39025"	"Feb., 2008"	"2008/02"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Columbiana County, OH"	"39029"	"Dec., 1999"	"1999/12"	"65-74 years"	"65-74"	10	Not Applicable	Not Applicable
	"Columbiana County, OH"	"39029"	"Apr., 2005"	"2005/04"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Columbiana County, OH"	"39029"	"Dec., 2005"	"2005/12"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Cuyahoga County, OH"	"39035"	"Jan., 1999"	"1999/01"	"65-74 years"	"65-74"	22	Not Applicable	Not Applicable
	"Cuyahoga County, OH"	"39035"	"Jan., 1999"	"1999/01"	"75-84 years"	"75-84"	36	Not Applicable	Not Applicable
	"Cuyahoga County, OH"	"39035"	"Jan., 1999"	"1999/01"	"85+ years"	"85+"	40	Not Applicable	Not Applicable
	"Cuyahoga County, OH"	"39035"	"Feb., 1999"	"1999/02"	"65-74 years"	"65-74"	25	Not Applicable	Not Applicable
	"Cuyahoga County, OH"	"39035"	"Feb., 1999"	"1999/02"	"75-84 years"	"75-84"	53	Not Applicable	Not Applicable
	"Cuyahoga County, OH"	"39035"	"Feb., 1999"	"1999/02"	"85+ years"	"85+"	43	Not Applicable	Not Applicable
	"Cuyahoga County, OH"	"39035"	"Mar., 1999"	"1999/03"	"65-74 years"	"65-74"	30	Not Applicable	Not Applicable
	"Cuyahoga County, OH"	"39035"	"Mar., 1999"	"1999/03"	"75-84 years"	"75-84"	54	Not Applicable	Not Applicable
	"Cuyahoga County, OH"	"39035"	"Mar., 1999"	"1999/03"	"85+ years"	"85+"	43	Not Applicable	Not Applicable
