"Notes"	"County"	"County Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Bell County, TX"	"48027"	"Dec., 2004"	"2004/12"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Bell County, TX"	"48027"	"Mar., 2005"	"2005/03"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Bell County, TX"	"48027"	"Jan., 2007"	"2007/01"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jan., 1999"	"1999/01"	"65-74 years"	"65-74"	20	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jan., 1999"	"1999/01"	"75-84 years"	"75-84"	31	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jan., 1999"	"1999/01"	"85+ years"	"85+"	34	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Feb., 1999"	"1999/02"	"65-74 years"	"65-74"	21	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Feb., 1999"	"1999/02"	"75-84 years"	"75-84"	40	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Feb., 1999"	"1999/02"	"85+ years"	"85+"	49	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Mar., 1999"	"1999/03"	"65-74 years"	"65-74"	17	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Mar., 1999"	"1999/03"	"75-84 years"	"75-84"	27	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Mar., 1999"	"1999/03"	"85+ years"	"85+"	24	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Apr., 1999"	"1999/04"	"65-74 years"	"65-74"	15	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Apr., 1999"	"1999/04"	"75-84 years"	"75-84"	16	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Apr., 1999"	"1999/04"	"85+ years"	"85+"	15	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"May, 1999"	"1999/05"	"65-74 years"	"65-74"	14	Not Applicable	Not Applicable
