"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Apache County, AZ"	"04001"	"1999"	"1999"	"< 1 year"	"1"	11	1247	Unreliable
	"Apache County, AZ"	"04001"	"1999"	"1999"	"15-24 years"	"15-24"	27	11204	241.0
	"Apache County, AZ"	"04001"	"1999"	"1999"	"25-34 years"	"25-34"	24	8183	293.3
	"Apache County, AZ"	"04001"	"1999"	"1999"	"35-44 years"	"35-44"	45	9607	468.4
	"Apache County, AZ"	"04001"	"1999"	"1999"	"45-54 years"	"45-54"	34	7468	455.3
	"Apache County, AZ"	"04001"	"1999"	"1999"	"55-64 years"	"55-64"	55	5266	1044.4
	"Apache County, AZ"	"04001"	"1999"	"1999"	"65-74 years"	"65-74"	88	3378	2605.1
	"Apache County, AZ"	"04001"	"1999"	"1999"	"75-84 years"	"75-84"	82	1558	5263.2
	"Apache County, AZ"	"04001"	"1999"	"1999"	"85+ years"	"85+"	76	612	12418.3
	"Apache County, AZ"	"04001"	"2000"	"2000"	"< 1 year"	"1"	18	1232	Unreliable
	"Apache County, AZ"	"04001"	"2000"	"2000"	"15-24 years"	"15-24"	24	11159	215.1
	"Apache County, AZ"	"04001"	"2000"	"2000"	"25-34 years"	"25-34"	30	7964	376.7
	"Apache County, AZ"	"04001"	"2000"	"2000"	"35-44 years"	"35-44"	43	9468	454.2
	"Apache County, AZ"	"04001"	"2000"	"2000"	"45-54 years"	"45-54"	32	7614	420.3
	"Apache County, AZ"	"04001"	"2000"	"2000"	"55-64 years"	"55-64"	60	5346	1122.3
	"Apache County, AZ"	"04001"	"2000"	"2000"	"65-74 years"	"65-74"	96	3478	2760.2
	"Apache County, AZ"	"04001"	"2000"	"2000"	"75-84 years"	"75-84"	82	1635	5015.3
	"Apache County, AZ"	"04001"	"2000"	"2000"	"85+ years"	"85+"	76	628	12101.9
	"Apache County, AZ"	"04001"	"2001"	"2001"	"< 1 year"	"1"	11	1101	Unreliable
	"Apache County, AZ"	"04001"	"2001"	"2001"	"5-14 years"	"5-14"	12	14919	Unreliable
	"Apache County, AZ"	"04001"	"2001"	"2001"	"15-24 years"	"15-24"	29	11109	261.0
	"Apache County, AZ"	"04001"	"2001"	"2001"	"25-34 years"	"25-34"	25	7575	330.0
	"Apache County, AZ"	"04001"	"2001"	"2001"	"35-44 years"	"35-44"	43	9210	466.9
	"Apache County, AZ"	"04001"	"2001"	"2001"	"45-54 years"	"45-54"	46	7859	585.3
	"Apache County, AZ"	"04001"	"2001"	"2001"	"55-64 years"	"55-64"	62	5453	1137.0
	"Apache County, AZ"	"04001"	"2001"	"2001"	"65-74 years"	"65-74"	96	3659	2623.7
	"Apache County, AZ"	"04001"	"2001"	"2001"	"75-84 years"	"75-84"	97	1653	5868.1
	"Apache County, AZ"	"04001"	"2001"	"2001"	"85+ years"	"85+"	85	605	14049.6
	"Apache County, AZ"	"04001"	"2002"	"2002"	"5-14 years"	"5-14"	10	14288	Unreliable
	"Apache County, AZ"	"04001"	"2002"	"2002"	"15-24 years"	"15-24"	29	11160	259.9
	"Apache County, AZ"	"04001"	"2002"	"2002"	"25-34 years"	"25-34"	27	7358	366.9
	"Apache County, AZ"	"04001"	"2002"	"2002"	"35-44 years"	"35-44"	47	9101	516.4
	"Apache County, AZ"	"04001"	"2002"	"2002"	"45-54 years"	"45-54"	44	8006	549.6
	"Apache County, AZ"	"04001"	"2002"	"2002"	"55-64 years"	"55-64"	56	5588	1002.1
	"Apache County, AZ"	"04001"	"2002"	"2002"	"65-74 years"	"65-74"	77	3827	2012.0
	"Apache County, AZ"	"04001"	"2002"	"2002"	"75-84 years"	"75-84"	76	1722	4413.5
	"Apache County, AZ"	"04001"	"2002"	"2002"	"85+ years"	"85+"	92	579	15889.5
