"Notes"	"County"	"County Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Bell County, TX"	"48027"	"Jan., 2010"	"2010/01"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jan., 2008"	"2008/01"	"65-74 years"	"65-74"	23	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jan., 2008"	"2008/01"	"75-84 years"	"75-84"	39	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jan., 2008"	"2008/01"	"85+ years"	"85+"	34	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Feb., 2008"	"2008/02"	"65-74 years"	"65-74"	18	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Feb., 2008"	"2008/02"	"75-84 years"	"75-84"	34	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Feb., 2008"	"2008/02"	"85+ years"	"85+"	36	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Mar., 2008"	"2008/03"	"55-64 years"	"55-64"	10	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Mar., 2008"	"2008/03"	"65-74 years"	"65-74"	11	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Mar., 2008"	"2008/03"	"75-84 years"	"75-84"	37	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Mar., 2008"	"2008/03"	"85+ years"	"85+"	30	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Apr., 2008"	"2008/04"	"65-74 years"	"65-74"	11	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Apr., 2008"	"2008/04"	"75-84 years"	"75-84"	28	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Apr., 2008"	"2008/04"	"85+ years"	"85+"	19	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"May, 2008"	"2008/05"	"65-74 years"	"65-74"	13	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"May, 2008"	"2008/05"	"75-84 years"	"75-84"	21	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"May, 2008"	"2008/05"	"85+ years"	"85+"	23	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jun., 2008"	"2008/06"	"65-74 years"	"65-74"	12	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jun., 2008"	"2008/06"	"75-84 years"	"75-84"	24	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jun., 2008"	"2008/06"	"85+ years"	"85+"	13	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jul., 2008"	"2008/07"	"65-74 years"	"65-74"	11	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jul., 2008"	"2008/07"	"75-84 years"	"75-84"	14	Not Applicable	Not Applicable
	"Bexar County, TX"	"48029"	"Jul., 2008"	"2008/07"	"85+ years"	"85+"	15	Not Applicable	Not Applicable
