"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Adams County, CO"	"08001"	"1999"	"1999"	"< 1 year"	"1"	49	6325	774.7
	"Adams County, CO"	"08001"	"1999"	"1999"	"1-4 years"	"1-4"	14	23296	Unreliable
	"Adams County, CO"	"08001"	"1999"	"1999"	"5-14 years"	"5-14"	12	56068	Unreliable
	"Adams County, CO"	"08001"	"1999"	"1999"	"15-24 years"	"15-24"	43	51339	83.8
	"Adams County, CO"	"08001"	"1999"	"1999"	"25-34 years"	"25-34"	48	60411	79.5
	"Adams County, CO"	"08001"	"1999"	"1999"	"35-44 years"	"35-44"	104	60821	171.0
	"Adams County, CO"	"08001"	"1999"	"1999"	"45-54 years"	"45-54"	167	43138	387.1
	"Adams County, CO"	"08001"	"1999"	"1999"	"55-64 years"	"55-64"	220	25012	879.6
	"Adams County, CO"	"08001"	"1999"	"1999"	"65-74 years"	"65-74"	407	16713	2435.2
	"Adams County, CO"	"08001"	"1999"	"1999"	"75-84 years"	"75-84"	547	8546	6400.7
	"Adams County, CO"	"08001"	"1999"	"1999"	"85+ years"	"85+"	400	2477	16148.6
	"Adams County, CO"	"08001"	"2000"	"2000"	"< 1 year"	"1"	36	6455	557.7
	"Adams County, CO"	"08001"	"2000"	"2000"	"1-4 years"	"1-4"	10	24194	Unreliable
	"Adams County, CO"	"08001"	"2000"	"2000"	"5-14 years"	"5-14"	10	57425	Unreliable
	"Adams County, CO"	"08001"	"2000"	"2000"	"15-24 years"	"15-24"	50	53352	93.7
	"Adams County, CO"	"08001"	"2000"	"2000"	"25-34 years"	"25-34"	60	62121	96.6
	"Adams County, CO"	"08001"	"2000"	"2000"	"35-44 years"	"35-44"	122	61493	198.4
	"Adams County, CO"	"08001"	"2000"	"2000"	"45-54 years"	"45-54"	179	44704	400.4
	"Adams County, CO"	"08001"	"2000"	"2000"	"55-64 years"	"55-64"	245	25731	952.2
	"Adams County, CO"	"08001"	"2000"	"2000"	"65-74 years"	"65-74"	420	17044	2464.2
	"Adams County, CO"	"08001"	"2000"	"2000"	"75-84 years"	"75-84"	524	8788	5962.7
	"Adams County, CO"	"08001"	"2000"	"2000"	"85+ years"	"85+"	391	2550	15333.3
	"Adams County, CO"	"08001"	"2001"	"2001"	"< 1 year"	"1"	51	6168	826.8
