"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alameda County, CA"	"06001"	"1999"	"1999"	"< 1 year"	"1"	110	19336	568.9
	"Alameda County, CA"	"06001"	"1999"	"1999"	"1-4 years"	"1-4"	17	79850	Unreliable
	"Alameda County, CA"	"06001"	"1999"	"1999"	"5-14 years"	"5-14"	30	200482	15.0
	"Alameda County, CA"	"06001"	"1999"	"1999"	"15-24 years"	"15-24"	119	188136	63.3
	"Alameda County, CA"	"06001"	"1999"	"1999"	"25-34 years"	"25-34"	194	241717	80.3
	"Alameda County, CA"	"06001"	"1999"	"1999"	"35-44 years"	"35-44"	426	248002	171.8
	"Alameda County, CA"	"06001"	"1999"	"1999"	"45-54 years"	"45-54"	779	193313	403.0
	"Alameda County, CA"	"06001"	"1999"	"1999"	"55-64 years"	"55-64"	1078	109679	982.9
	"Alameda County, CA"	"06001"	"1999"	"1999"	"65-74 years"	"65-74"	1779	75978	2341.5
	"Alameda County, CA"	"06001"	"1999"	"1999"	"75-84 years"	"75-84"	2748	52304	5253.9
	"Alameda County, CA"	"06001"	"1999"	"1999"	"85+ years"	"85+"	2629	18317	14352.8
	"Alameda County, CA"	"06001"	"2000"	"2000"	"< 1 year"	"1"	104	19397	536.2
	"Alameda County, CA"	"06001"	"2000"	"2000"	"1-4 years"	"1-4"	22	78981	27.9
	"Alameda County, CA"	"06001"	"2000"	"2000"	"5-14 years"	"5-14"	33	201417	16.4
	"Alameda County, CA"	"06001"	"2000"	"2000"	"15-24 years"	"15-24"	107	193193	55.4
	"Alameda County, CA"	"06001"	"2000"	"2000"	"25-34 years"	"25-34"	193	241073	80.1
	"Alameda County, CA"	"06001"	"2000"	"2000"	"35-44 years"	"35-44"	435	248706	174.9
	"Alameda County, CA"	"06001"	"2000"	"2000"	"45-54 years"	"45-54"	799	200518	398.5
	"Alameda County, CA"	"06001"	"2000"	"2000"	"55-64 years"	"55-64"	1069	112865	947.1
	"Alameda County, CA"	"06001"	"2000"	"2000"	"65-74 years"	"65-74"	1645	75699	2173.1
	"Alameda County, CA"	"06001"	"2000"	"2000"	"75-84 years"	"75-84"	2792	53069	5261.1
	"Alameda County, CA"	"06001"	"2000"	"2000"	"85+ years"	"85+"	2687	18823	14275.1
	"Alameda County, CA"	"06001"	"2001"	"2001"	"< 1 year"	"1"	133	22044	603.3
	"Alameda County, CA"	"06001"	"2001"	"2001"	"1-4 years"	"1-4"	15	77953	Unreliable
	"Alameda County, CA"	"06001"	"2001"	"2001"	"5-14 years"	"5-14"	33	201035	16.4
	"Alameda County, CA"	"06001"	"2001"	"2001"	"15-24 years"	"15-24"	124	198671	62.4
	"Alameda County, CA"	"06001"	"2001"	"2001"	"25-34 years"	"25-34"	179	245773	72.8
	"Alameda County, CA"	"06001"	"2001"	"2001"	"35-44 years"	"35-44"	401	250113	160.3
	"Alameda County, CA"	"06001"	"2001"	"2001"	"45-54 years"	"45-54"	783	208224	376.0
	"Alameda County, CA"	"06001"	"2001"	"2001"	"55-64 years"	"55-64"	1009	117880	856.0
	"Alameda County, CA"	"06001"	"2001"	"2001"	"65-74 years"	"65-74"	1531	74895	2044.2
	"Alameda County, CA"	"06001"	"2001"	"2001"	"75-84 years"	"75-84"	2841	53860	5274.8
	"Alameda County, CA"	"06001"	"2001"	"2001"	"85+ years"	"85+"	2720	19036	14288.7
	"Alameda County, CA"	"06001"	"2002"	"2002"	"< 1 year"	"1"	91	21316	426.9
	"Alameda County, CA"	"06001"	"2002"	"2002"	"1-4 years"	"1-4"	13	77912	Unreliable
	"Alameda County, CA"	"06001"	"2002"	"2002"	"5-14 years"	"5-14"	28	197149	14.2
	"Alameda County, CA"	"06001"	"2002"	"2002"	"15-24 years"	"15-24"	133	198150	67.1
	"Alameda County, CA"	"06001"	"2002"	"2002"	"25-34 years"	"25-34"	195	240571	81.1
	"Alameda County, CA"	"06001"	"2002"	"2002"	"35-44 years"	"35-44"	396	245335	161.4
	"Alameda County, CA"	"06001"	"2002"	"2002"	"45-54 years"	"45-54"	836	208405	401.1
	"Alameda County, CA"	"06001"	"2002"	"2002"	"55-64 years"	"55-64"	1066	125347	850.4
	"Alameda County, CA"	"06001"	"2002"	"2002"	"65-74 years"	"65-74"	1517	74531	2035.4
	"Alameda County, CA"	"06001"	"2002"	"2002"	"75-84 years"	"75-84"	2714	54211	5006.4
	"Alameda County, CA"	"06001"	"2002"	"2002"	"85+ years"	"85+"	2617	19179	13645.1
	"Alameda County, CA"	"06001"	"2003"	"2003"	"< 1 year"	"1"	97	21091	459.9
	"Alameda County, CA"	"06001"	"2003"	"2003"	"1-4 years"	"1-4"	13	78092	Unreliable
	"Alameda County, CA"	"06001"	"2003"	"2003"	"5-14 years"	"5-14"	29	192864	15.0
	"Alameda County, CA"	"06001"	"2003"	"2003"	"15-24 years"	"15-24"	140	196673	71.2
	"Alameda County, CA"	"06001"	"2003"	"2003"	"25-34 years"	"25-34"	187	234586	79.7
