"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Fairfield County, CT"	"09001"	"1999"	"1999"	"< 1 year"	"1"	64	12288	520.8
	"Fairfield County, CT"	"09001"	"1999"	"1999"	"1-4 years"	"1-4"	14	51058	Unreliable
	"Fairfield County, CT"	"09001"	"1999"	"1999"	"5-14 years"	"5-14"	18	127921	Unreliable
	"Fairfield County, CT"	"09001"	"1999"	"1999"	"15-24 years"	"15-24"	62	93099	66.6
	"Fairfield County, CT"	"09001"	"1999"	"1999"	"25-34 years"	"25-34"	102	120239	84.8
	"Fairfield County, CT"	"09001"	"1999"	"1999"	"35-44 years"	"35-44"	183	153787	119.0
	"Fairfield County, CT"	"09001"	"1999"	"1999"	"45-54 years"	"45-54"	372	121727	305.6
	"Fairfield County, CT"	"09001"	"1999"	"1999"	"55-64 years"	"55-64"	603	80386	750.1
	"Fairfield County, CT"	"09001"	"1999"	"1999"	"65-74 years"	"65-74"	1204	59803	2013.3
	"Fairfield County, CT"	"09001"	"1999"	"1999"	"75-84 years"	"75-84"	2048	41513	4933.4
	"Fairfield County, CT"	"09001"	"1999"	"1999"	"85+ years"	"85+"	2303	15222	15129.4
	"Fairfield County, CT"	"09001"	"2000"	"2000"	"< 1 year"	"1"	55	12370	444.6
	"Fairfield County, CT"	"09001"	"2000"	"2000"	"1-4 years"	"1-4"	12	51635	Unreliable
	"Fairfield County, CT"	"09001"	"2000"	"2000"	"5-14 years"	"5-14"	12	129489	Unreliable
	"Fairfield County, CT"	"09001"	"2000"	"2000"	"15-24 years"	"15-24"	54	94061	57.4
	"Fairfield County, CT"	"09001"	"2000"	"2000"	"25-34 years"	"25-34"	86	118076	72.8
	"Fairfield County, CT"	"09001"	"2000"	"2000"	"35-44 years"	"35-44"	230	154462	148.9
	"Fairfield County, CT"	"09001"	"2000"	"2000"	"45-54 years"	"45-54"	376	123716	303.9
	"Fairfield County, CT"	"09001"	"2000"	"2000"	"55-64 years"	"55-64"	619	81595	758.6
	"Fairfield County, CT"	"09001"	"2000"	"2000"	"65-74 years"	"65-74"	1128	59709	1889.2
	"Fairfield County, CT"	"09001"	"2000"	"2000"	"75-84 years"	"75-84"	2149	41863	5133.4
	"Fairfield County, CT"	"09001"	"2000"	"2000"	"85+ years"	"85+"	2351	15591	15079.2
	"Fairfield County, CT"	"09001"	"2001"	"2001"	"< 1 year"	"1"	63	12294	512.4
	"Fairfield County, CT"	"09001"	"2001"	"2001"	"5-14 years"	"5-14"	13	131431	Unreliable
	"Fairfield County, CT"	"09001"	"2001"	"2001"	"15-24 years"	"15-24"	59	96231	61.3
	"Fairfield County, CT"	"09001"	"2001"	"2001"	"25-34 years"	"25-34"	91	114077	79.8
	"Fairfield County, CT"	"09001"	"2001"	"2001"	"35-44 years"	"35-44"	240	154838	155.0
	"Fairfield County, CT"	"09001"	"2001"	"2001"	"45-54 years"	"45-54"	400	128299	311.8
	"Fairfield County, CT"	"09001"	"2001"	"2001"	"55-64 years"	"55-64"	592	83554	708.5
	"Fairfield County, CT"	"09001"	"2001"	"2001"	"65-74 years"	"65-74"	1138	59078	1926.3
	"Fairfield County, CT"	"09001"	"2001"	"2001"	"75-84 years"	"75-84"	2110	42520	4962.4
	"Fairfield County, CT"	"09001"	"2001"	"2001"	"85+ years"	"85+"	2311	16094	14359.4
	"Fairfield County, CT"	"09001"	"2002"	"2002"	"< 1 year"	"1"	83	11972	693.3
	"Fairfield County, CT"	"09001"	"2002"	"2002"	"1-4 years"	"1-4"	12	49822	Unreliable
	"Fairfield County, CT"	"09001"	"2002"	"2002"	"5-14 years"	"5-14"	16	132803	Unreliable
	"Fairfield County, CT"	"09001"	"2002"	"2002"	"15-24 years"	"15-24"	49	98247	49.9
	"Fairfield County, CT"	"09001"	"2002"	"2002"	"25-34 years"	"25-34"	82	111702	73.4
	"Fairfield County, CT"	"09001"	"2002"	"2002"	"35-44 years"	"35-44"	205	153971	133.1
	"Fairfield County, CT"	"09001"	"2002"	"2002"	"45-54 years"	"45-54"	390	128910	302.5
	"Fairfield County, CT"	"09001"	"2002"	"2002"	"55-64 years"	"55-64"	601	87882	683.9
	"Fairfield County, CT"	"09001"	"2002"	"2002"	"65-74 years"	"65-74"	1079	58004	1860.2
	"Fairfield County, CT"	"09001"	"2002"	"2002"	"75-84 years"	"75-84"	2113	42926	4922.4
	"Fairfield County, CT"	"09001"	"2002"	"2002"	"85+ years"	"85+"	2499	16661	14999.1
	"Fairfield County, CT"	"09001"	"2003"	"2003"	"< 1 year"	"1"	50	12170	410.8
	"Fairfield County, CT"	"09001"	"2003"	"2003"	"5-14 years"	"5-14"	10	133454	Unreliable
	"Fairfield County, CT"	"09001"	"2003"	"2003"	"15-24 years"	"15-24"	55	100092	54.9
	"Fairfield County, CT"	"09001"	"2003"	"2003"	"25-34 years"	"25-34"	64	109304	58.6
	"Fairfield County, CT"	"09001"	"2003"	"2003"	"35-44 years"	"35-44"	191	152230	125.5
	"Fairfield County, CT"	"09001"	"2003"	"2003"	"45-54 years"	"45-54"	381	131264	290.3
	"Fairfield County, CT"	"09001"	"2003"	"2003"	"55-64 years"	"55-64"	605	90699	667.0
	"Fairfield County, CT"	"09001"	"2003"	"2003"	"65-74 years"	"65-74"	1018	57391	1773.8
	"Fairfield County, CT"	"09001"	"2003"	"2003"	"75-84 years"	"75-84"	2029	43157	4701.4
	"Fairfield County, CT"	"09001"	"2003"	"2003"	"85+ years"	"85+"	2444	17143	14256.5
	"Fairfield County, CT"	"09001"	"2004"	"2004"	"< 1 year"	"1"	39	11930	326.9
	"Fairfield County, CT"	"09001"	"2004"	"2004"	"1-4 years"	"1-4"	10	48978	Unreliable
	"Fairfield County, CT"	"09001"	"2004"	"2004"	"5-14 years"	"5-14"	12	133399	Unreliable
	"Fairfield County, CT"	"09001"	"2004"	"2004"	"15-24 years"	"15-24"	56	102483	54.6
	"Fairfield County, CT"	"09001"	"2004"	"2004"	"25-34 years"	"25-34"	74	106321	69.6
	"Fairfield County, CT"	"09001"	"2004"	"2004"	"35-44 years"	"35-44"	189	149960	126.0
	"Fairfield County, CT"	"09001"	"2004"	"2004"	"45-54 years"	"45-54"	364	133897	271.9
	"Fairfield County, CT"	"09001"	"2004"	"2004"	"55-64 years"	"55-64"	605	92926	651.1
	"Fairfield County, CT"	"09001"	"2004"	"2004"	"65-74 years"	"65-74"	973	56965	1708.1
	"Fairfield County, CT"	"09001"	"2004"	"2004"	"75-84 years"	"75-84"	1989	43194	4604.8
	"Fairfield County, CT"	"09001"	"2004"	"2004"	"85+ years"	"85+"	2367	17419	13588.6
	"Fairfield County, CT"	"09001"	"2005"	"2005"	"< 1 year"	"1"	58	11551	502.1
	"Fairfield County, CT"	"09001"	"2005"	"2005"	"5-14 years"	"5-14"	16	131656	Unreliable
	"Fairfield County, CT"	"09001"	"2005"	"2005"	"15-24 years"	"15-24"	66	106065	62.2
	"Fairfield County, CT"	"09001"	"2005"	"2005"	"25-34 years"	"25-34"	66	103129	64.0
	"Fairfield County, CT"	"09001"	"2005"	"2005"	"35-44 years"	"35-44"	191	147528	129.5
	"Fairfield County, CT"	"09001"	"2005"	"2005"	"45-54 years"	"45-54"	386	136926	281.9
	"Fairfield County, CT"	"09001"	"2005"	"2005"	"55-64 years"	"55-64"	596	94816	628.6
	"Fairfield County, CT"	"09001"	"2005"	"2005"	"65-74 years"	"65-74"	974	56446	1725.5
	"Fairfield County, CT"	"09001"	"2005"	"2005"	"75-84 years"	"75-84"	1912	43270	4418.8
	"Fairfield County, CT"	"09001"	"2005"	"2005"	"85+ years"	"85+"	2528	17988	14053.8
	"Fairfield County, CT"	"09001"	"2006"	"2006"	"< 1 year"	"1"	60	11351	528.6
	"Fairfield County, CT"	"09001"	"2006"	"2006"	"15-24 years"	"15-24"	79	108287	73.0
	"Fairfield County, CT"	"09001"	"2006"	"2006"	"25-34 years"	"25-34"	88	100741	87.4
	"Fairfield County, CT"	"09001"	"2006"	"2006"	"35-44 years"	"35-44"	175	144497	121.1
	"Fairfield County, CT"	"09001"	"2006"	"2006"	"45-54 years"	"45-54"	404	139750	289.1
	"Fairfield County, CT"	"09001"	"2006"	"2006"	"55-64 years"	"55-64"	623	96881	643.1
	"Fairfield County, CT"	"09001"	"2006"	"2006"	"65-74 years"	"65-74"	844	55756	1513.7
	"Fairfield County, CT"	"09001"	"2006"	"2006"	"75-84 years"	"75-84"	1837	42738	4298.3
	"Fairfield County, CT"	"09001"	"2006"	"2006"	"85+ years"	"85+"	2471	18497	13358.9
	"Fairfield County, CT"	"09001"	"2007"	"2007"	"< 1 year"	"1"	57	11305	504.2
	"Fairfield County, CT"	"09001"	"2007"	"2007"	"5-14 years"	"5-14"	13	129025	Unreliable
	"Fairfield County, CT"	"09001"	"2007"	"2007"	"15-24 years"	"15-24"	52	109852	47.3
	"Fairfield County, CT"	"09001"	"2007"	"2007"	"25-34 years"	"25-34"	77	100631	76.5
	"Fairfield County, CT"	"09001"	"2007"	"2007"	"35-44 years"	"35-44"	171	140687	121.5
	"Fairfield County, CT"	"09001"	"2007"	"2007"	"45-54 years"	"45-54"	353	142327	248.0
	"Fairfield County, CT"	"09001"	"2007"	"2007"	"55-64 years"	"55-64"	610	98661	618.3
	"Fairfield County, CT"	"09001"	"2007"	"2007"	"65-74 years"	"65-74"	840	56717	1481.0
	"Fairfield County, CT"	"09001"	"2007"	"2007"	"75-84 years"	"75-84"	1717	42405	4049.1
	"Fairfield County, CT"	"09001"	"2007"	"2007"	"85+ years"	"85+"	2485	18992	13084.5
	"Fairfield County, CT"	"09001"	"2008"	"2008"	"< 1 year"	"1"	55	10965	501.6
	"Fairfield County, CT"	"09001"	"2008"	"2008"	"5-14 years"	"5-14"	16	128941	Unreliable
	"Fairfield County, CT"	"09001"	"2008"	"2008"	"15-24 years"	"15-24"	58	110867	52.3
	"Fairfield County, CT"	"09001"	"2008"	"2008"	"25-34 years"	"25-34"	76	102309	74.3
	"Fairfield County, CT"	"09001"	"2008"	"2008"	"35-44 years"	"35-44"	141	137877	102.3
	"Fairfield County, CT"	"09001"	"2008"	"2008"	"45-54 years"	"45-54"	423	144955	291.8
	"Fairfield County, CT"	"09001"	"2008"	"2008"	"55-64 years"	"55-64"	580	100510	577.1
	"Fairfield County, CT"	"09001"	"2008"	"2008"	"65-74 years"	"65-74"	812	59055	1375.0
	"Fairfield County, CT"	"09001"	"2008"	"2008"	"75-84 years"	"75-84"	1784	42122	4235.3
	"Fairfield County, CT"	"09001"	"2008"	"2008"	"85+ years"	"85+"	2602	19527	13325.1
	"Fairfield County, CT"	"09001"	"2009"	"2009"	"< 1 year"	"1"	52	10567	492.1
	"Fairfield County, CT"	"09001"	"2009"	"2009"	"5-14 years"	"5-14"	12	129121	Unreliable
	"Fairfield County, CT"	"09001"	"2009"	"2009"	"15-24 years"	"15-24"	68	112176	60.6
	"Fairfield County, CT"	"09001"	"2009"	"2009"	"25-34 years"	"25-34"	64	104109	61.5
	"Fairfield County, CT"	"09001"	"2009"	"2009"	"35-44 years"	"35-44"	117	133767	87.5
	"Fairfield County, CT"	"09001"	"2009"	"2009"	"45-54 years"	"45-54"	364	147905	246.1
	"Fairfield County, CT"	"09001"	"2009"	"2009"	"55-64 years"	"55-64"	591	103800	569.4
	"Fairfield County, CT"	"09001"	"2009"	"2009"	"65-74 years"	"65-74"	856	61049	1402.2
	"Fairfield County, CT"	"09001"	"2009"	"2009"	"75-84 years"	"75-84"	1610	41551	3874.8
