County,State,AQI,state_county,Date,County Code
baldwin,alabama,26,alabama_baldwin,2018-05-26,1003
colbert,alabama,34,alabama_colbert,2018-05-26,1033
dekalb,alabama,41,alabama_dekalb,2018-05-26,1049
elmore,alabama,32,alabama_elmore,2018-05-26,1051
etowah,alabama,41,alabama_etowah,2018-05-26,1055
houston,alabama,24,alabama_houston,2018-05-26,1069
jefferson,alabama,46,alabama_jefferson,2018-05-26,1073
madison,alabama,41,alabama_madison,2018-05-26,1089
mobile,alabama,31,alabama_mobile,2018-05-26,1097
montgomery,alabama,45,alabama_montgomery,2018-05-26,1101
morgan,alabama,38,alabama_morgan,2018-05-26,1103
russell,alabama,30,alabama_russell,2018-05-26,1113
shelby,alabama,31,alabama_shelby,2018-05-26,1117
tuscaloosa,alabama,30,alabama_tuscaloosa,2018-05-26,1125
apache,arizona,13,arizona_apache,2018-05-26,4001
cochise,arizona,44,arizona_cochise,2018-05-26,4003
coconino,arizona,80,arizona_coconino,2018-05-26,4005
gila,arizona,67,arizona_gila,2018-05-26,4007
maricopa,arizona,71,arizona_maricopa,2018-05-26,4013
mohave,arizona,17,arizona_mohave,2018-05-26,4015
navajo,arizona,61,arizona_navajo,2018-05-26,4017
pima,arizona,58,arizona_pima,2018-05-26,4019
pinal,arizona,72,arizona_pinal,2018-05-26,4021
yavapai,arizona,48,arizona_yavapai,2018-05-26,4025
yuma,arizona,91,arizona_yuma,2018-05-26,4027
arkansas,arkansas,32,arkansas_arkansas,2018-05-26,5001
craighead,arkansas,40,arkansas_craighead,2018-05-26,5031
crittenden,arkansas,47,arkansas_crittenden,2018-05-26,5035
garland,arkansas,38,arkansas_garland,2018-05-26,5051
polk,arkansas,50,arkansas_polk,2018-05-26,5113
pulaski,arkansas,49,arkansas_pulaski,2018-05-26,5119
union,arkansas,34,arkansas_union,2018-05-26,5139
washington,arkansas,58,arkansas_washington,2018-05-26,5143
alameda,california,46,california_alameda,2018-05-26,6001
amador,california,37,california_amador,2018-05-26,6005
butte,california,35,california_butte,2018-05-26,6007
calaveras,california,45,california_calaveras,2018-05-26,6009
contra_costa,california,35,california_contra_costa,2018-05-26,6013
el_dorado,california,36,california_el_dorado,2018-05-26,6017
fresno,california,45,california_fresno,2018-05-26,6019
glenn,california,17,california_glenn,2018-05-26,6021
humboldt,california,31,california_humboldt,2018-05-26,6023
imperial,california,97,california_imperial,2018-05-26,6025
kern,california,45,california_kern,2018-05-26,6029
kings,california,44,california_kings,2018-05-26,6031
lake,california,22,california_lake,2018-05-26,6033
los_angeles,california,55,california_los_angeles,2018-05-26,6037
madera,california,42,california_madera,2018-05-26,6039
marin,california,30,california_marin,2018-05-26,6041
mendocino,california,24,california_mendocino,2018-05-26,6045
merced,california,35,california_merced,2018-05-26,6047
