"Notes"	"County"	"County Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Madison County, AL"	"01089"	"May, 2000"	"2000/05"	13	Not Applicable	Not Applicable	0.0%
	"Madison County, AL"	"01089"	"Jun., 2000"	"2000/06"	15	Not Applicable	Not Applicable	0.0%
	"Madison County, AL"	"01089"	"Jul., 2000"	"2000/07"	19	Not Applicable	Not Applicable	0.0%
	"Madison County, AL"	"01089"	"Aug., 2000"	"2000/08"	10	Not Applicable	Not Applicable	0.0%
	"Madison County, AL"	"01089"	"Sep., 2000"	"2000/09"	11	Not Applicable	Not Applicable	0.0%
	"Madison County, AL"	"01089"	"Oct., 2000"	"2000/10"	13	Not Applicable	Not Applicable	0.0%
	"Madison County, AL"	"01089"	"Nov., 2000"	"2000/11"	24	Not Applicable	Not Applicable	0.0%
	"Madison County, AL"	"01089"	"Dec., 2000"	"2000/12"	19	Not Applicable	Not Applicable	0.0%
	"Marshall County, AL"	"01095"	"Jan., 2000"	"2000/01"	14	Not Applicable	Not Applicable	0.0%
	"Mobile County, AL"	"01097"	"Jan., 2000"	"2000/01"	79	Not Applicable	Not Applicable	0.0%
	"Mobile County, AL"	"01097"	"Feb., 2000"	"2000/02"	24	Not Applicable	Not Applicable	0.0%
	"Mobile County, AL"	"01097"	"Mar., 2000"	"2000/03"	27	Not Applicable	Not Applicable	0.0%
	"Mobile County, AL"	"01097"	"Apr., 2000"	"2000/04"	20	Not Applicable	Not Applicable	0.0%
	"Mobile County, AL"	"01097"	"May, 2000"	"2000/05"	28	Not Applicable	Not Applicable	0.0%
	"Mobile County, AL"	"01097"	"Jun., 2000"	"2000/06"	20	Not Applicable	Not Applicable	0.0%
	"Mobile County, AL"	"01097"	"Jul., 2000"	"2000/07"	22	Not Applicable	Not Applicable	0.0%
	"Mobile County, AL"	"01097"	"Aug., 2000"	"2000/08"	20	Not Applicable	Not Applicable	0.0%
	"Mobile County, AL"	"01097"	"Sep., 2000"	"2000/09"	26	Not Applicable	Not Applicable	0.0%
	"Mobile County, AL"	"01097"	"Oct., 2000"	"2000/10"	20	Not Applicable	Not Applicable	0.0%
	"Mobile County, AL"	"01097"	"Nov., 2000"	"2000/11"	19	Not Applicable	Not Applicable	0.0%
	"Mobile County, AL"	"01097"	"Dec., 2000"	"2000/12"	26	Not Applicable	Not Applicable	0.0%
	"Montgomery County, AL"	"01101"	"Jan., 2000"	"2000/01"	19	Not Applicable	Not Applicable	0.0%
	"Montgomery County, AL"	"01101"	"Feb., 2000"	"2000/02"	19	Not Applicable	Not Applicable	0.0%
	"Montgomery County, AL"	"01101"	"Mar., 2000"	"2000/03"	17	Not Applicable	Not Applicable	0.0%
	"Montgomery County, AL"	"01101"	"Apr., 2000"	"2000/04"	14	Not Applicable	Not Applicable	0.0%
	"Montgomery County, AL"	"01101"	"Jul., 2000"	"2000/07"	14	Not Applicable	Not Applicable	0.0%
	"Montgomery County, AL"	"01101"	"Aug., 2000"	"2000/08"	13	Not Applicable	Not Applicable	0.0%
	"Montgomery County, AL"	"01101"	"Sep., 2000"	"2000/09"	12	Not Applicable	Not Applicable	0.0%
	"Montgomery County, AL"	"01101"	"Dec., 2000"	"2000/12"	17	Not Applicable	Not Applicable	0.0%
	"Morgan County, AL"	"01103"	"Jan., 2000"	"2000/01"	11	Not Applicable	Not Applicable	0.0%
	"Morgan County, AL"	"01103"	"Feb., 2000"	"2000/02"	12	Not Applicable	Not Applicable	0.0%
	"Morgan County, AL"	"01103"	"Jun., 2000"	"2000/06"	12	Not Applicable	Not Applicable	0.0%
	"Morgan County, AL"	"01103"	"Dec., 2000"	"2000/12"	14	Not Applicable	Not Applicable	0.0%
	"Russell County, AL"	"01113"	"Jan., 2000"	"2000/01"	13	Not Applicable	Not Applicable	0.0%
	"Russell County, AL"	"01113"	"Mar., 2000"	"2000/03"	10	Not Applicable	Not Applicable	0.0%
	"Shelby County, AL"	"01117"	"Jan., 2000"	"2000/01"	11	Not Applicable	Not Applicable	0.0%
	"Talladega County, AL"	"01121"	"Jan., 2000"	"2000/01"	11	Not Applicable	Not Applicable	0.0%
	"Talladega County, AL"	"01121"	"Feb., 2000"	"2000/02"	11	Not Applicable	Not Applicable	0.0%
	"Tallapoosa County, AL"	"01123"	"Jan., 2000"	"2000/01"	13	Not Applicable	Not Applicable	0.0%
	"Tuscaloosa County, AL"	"01125"	"Jan., 2000"	"2000/01"	25	Not Applicable	Not Applicable	0.0%
	"Tuscaloosa County, AL"	"01125"	"Feb., 2000"	"2000/02"	12	Not Applicable	Not Applicable	0.0%
	"Tuscaloosa County, AL"	"01125"	"Apr., 2000"	"2000/04"	14	Not Applicable	Not Applicable	0.0%
	"Tuscaloosa County, AL"	"01125"	"Jul., 2000"	"2000/07"	13	Not Applicable	Not Applicable	0.0%
	"Tuscaloosa County, AL"	"01125"	"Oct., 2000"	"2000/10"	10	Not Applicable	Not Applicable	0.0%
	"Tuscaloosa County, AL"	"01125"	"Dec., 2000"	"2000/12"	20	Not Applicable	Not Applicable	0.0%
	"Walker County, AL"	"01127"	"Feb., 2000"	"2000/02"	12	Not Applicable	Not Applicable	0.0%
	"Walker County, AL"	"01127"	"Mar., 2000"	"2000/03"	10	Not Applicable	Not Applicable	0.0%
	"Anchorage Borough, AK"	"02020"	"Jan., 2000"	"2000/01"	14	Not Applicable	Not Applicable	0.0%
	"Cochise County, AZ"	"04003"	"Jan., 2000"	"2000/01"	25	Not Applicable	Not Applicable	0.0%
	"Cochise County, AZ"	"04003"	"Feb., 2000"	"2000/02"	14	Not Applicable	Not Applicable	0.0%
	"Cochise County, AZ"	"04003"	"Mar., 2000"	"2000/03"	14	Not Applicable	Not Applicable	0.0%
	"Cochise County, AZ"	"04003"	"May, 2000"	"2000/05"	13	Not Applicable	Not Applicable	0.0%
	"Cochise County, AZ"	"04003"	"Oct., 2000"	"2000/10"	10	Not Applicable	Not Applicable	0.0%
	"Cochise County, AZ"	"04003"	"Dec., 2000"	"2000/12"	13	Not Applicable	Not Applicable	0.0%
	"Maricopa County, AZ"	"04013"	"Jan., 2000"	"2000/01"	329	Not Applicable	Not Applicable	0.1%
	"Maricopa County, AZ"	"04013"	"Feb., 2000"	"2000/02"	271	Not Applicable	Not Applicable	0.1%
	"Maricopa County, AZ"	"04013"	"Mar., 2000"	"2000/03"	258	Not Applicable	Not Applicable	0.1%
	"Maricopa County, AZ"	"04013"	"Apr., 2000"	"2000/04"	192	Not Applicable	Not Applicable	0.1%
	"Maricopa County, AZ"	"04013"	"May, 2000"	"2000/05"	186	Not Applicable	Not Applicable	0.1%
	"Maricopa County, AZ"	"04013"	"Jun., 2000"	"2000/06"	148	Not Applicable	Not Applicable	0.1%
	"Maricopa County, AZ"	"04013"	"Jul., 2000"	"2000/07"	172	Not Applicable	Not Applicable	0.1%
	"Maricopa County, AZ"	"04013"	"Aug., 2000"	"2000/08"	169	Not Applicable	Not Applicable	0.1%
	"Maricopa County, AZ"	"04013"	"Sep., 2000"	"2000/09"	168	Not Applicable	Not Applicable	0.1%
	"Maricopa County, AZ"	"04013"	"Oct., 2000"	"2000/10"	168	Not Applicable	Not Applicable	0.1%
	"Maricopa County, AZ"	"04013"	"Nov., 2000"	"2000/11"	198	Not Applicable	Not Applicable	0.1%
	"Maricopa County, AZ"	"04013"	"Dec., 2000"	"2000/12"	227	Not Applicable	Not Applicable	0.1%
	"Mohave County, AZ"	"04015"	"Jan., 2000"	"2000/01"	28	Not Applicable	Not Applicable	0.0%
	"Mohave County, AZ"	"04015"	"Feb., 2000"	"2000/02"	25	Not Applicable	Not Applicable	0.0%
	"Mohave County, AZ"	"04015"	"Mar., 2000"	"2000/03"	23	Not Applicable	Not Applicable	0.0%
	"Mohave County, AZ"	"04015"	"May, 2000"	"2000/05"	13	Not Applicable	Not Applicable	0.0%
	"Mohave County, AZ"	"04015"	"Jun., 2000"	"2000/06"	18	Not Applicable	Not Applicable	0.0%
	"Mohave County, AZ"	"04015"	"Jul., 2000"	"2000/07"	10	Not Applicable	Not Applicable	0.0%
	"Mohave County, AZ"	"04015"	"Aug., 2000"	"2000/08"	15	Not Applicable	Not Applicable	0.0%
